windows_run_0,windows_run_1,window_mean
425,100,262.5
100,125,112.5
300,100,200.0
100,100,100.0
350,125,237.5
100,400,250.0
125,125,125.0
100,100,100.0
125,125,125.0
125,125,125.0
125,125,125.0
200,125,162.5
350,125,237.5
375,150,262.5
125,125,125.0
75,125,100.0
125,125,125.0
75,75,75.0
75,125,100.0
75,125,100.0
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
300,75,187.5
125,125,125.0
350,125,237.5
150,75,112.5
100,100,100.0
75,75,75.0
350,75,212.5
75,225,150.0
75,150,112.5
225,100,162.5
225,100,162.5
150,100,125.0
150,100,125.0
100,150,125.0
100,100,100.0
150,100,125.0
100,100,100.0
100,100,100.0
100,175,137.5
100,100,100.0
100,300,200.0
150,100,125.0
75,100,87.5
175,100,137.5
75,100,87.5
75,75,75.0
100,100,100.0
100,100,100.0
175,100,137.5
175,175,175.0
100,175,137.5
100,100,100.0
100,175,137.5
100,125,112.5
50,100,75.0
375,125,250.0
175,125,150.0
125,125,125.0
125,375,250.0
125,175,150.0
200,475,337.5
175,175,175.0
175,175,175.0
100,125,112.5
125,175,150.0
100,175,137.5
200,125,162.5
125,250,187.5
175,175,175.0
200,400,300.0
200,175,187.5
400,400,400.0
200,200,200.0
200,400,300.0
200,300,250.0
125,150,137.5
125,425,275.0
425,200,312.5
150,225,187.5
150,150,150.0
150,425,287.5
275,225,250.0
200,225,212.5
150,400,275.0
200,150,175.0
150,200,175.0
300,225,262.5
225,300,262.5
200,425,312.5
125,125,125.0
225,225,225.0
425,100,262.5
225,425,325.0
225,100,162.5
225,225,225.0
225,150,187.5
225,225,225.0
225,425,325.0
225,225,225.0
225,225,225.0
125,175,150.0
150,225,187.5
225,175,200.0
225,150,187.5
225,225,225.0
225,225,225.0
225,150,187.5
225,225,225.0
225,250,237.5
225,225,225.0
425,300,362.5
75,225,150.0
