,windows_run_0,window_mean
1393,848.0,848.0
1394,848.0,848.0
1395,599.0,599.0
1396,848.0,848.0
1397,848.0,848.0
1398,599.0,599.0
1399,848.0,848.0
1400,848.0,848.0
1401,599.0,599.0
1402,848.0,848.0
1403,848.0,848.0
1404,599.0,599.0
1405,848.0,848.0
1406,848.0,848.0
1407,848.0,848.0
1408,848.0,848.0
1409,848.0,848.0
1410,599.0,599.0
1411,848.0,848.0
1412,848.0,848.0
1413,848.0,848.0
1414,848.0,848.0
1415,599.0,599.0
1416,848.0,848.0
1417,848.0,848.0
1418,848.0,848.0
1419,848.0,848.0
1420,848.0,848.0
1421,848.0,848.0
1422,848.0,848.0
1423,848.0,848.0
1424,848.0,848.0
1425,848.0,848.0
1426,848.0,848.0
1427,848.0,848.0
1428,848.0,848.0
1429,848.0,848.0
1430,848.0,848.0
1431,848.0,848.0
1432,848.0,848.0
1433,848.0,848.0
1434,848.0,848.0
1435,848.0,848.0
1436,848.0,848.0
1437,848.0,848.0
1438,848.0,848.0
1439,848.0,848.0
1440,848.0,848.0
1441,848.0,848.0
1442,848.0,848.0
1443,848.0,848.0
1444,848.0,848.0
1445,848.0,848.0
1446,848.0,848.0
1447,848.0,848.0
1448,848.0,848.0
1449,848.0,848.0
1450,848.0,848.0
1451,848.0,848.0
1452,848.0,848.0
1453,848.0,848.0
1454,848.0,848.0
1455,848.0,848.0
1456,848.0,848.0
1457,848.0,848.0
1458,848.0,848.0
1459,848.0,848.0
1460,848.0,848.0
1461,848.0,848.0
1462,848.0,848.0
1463,848.0,848.0
1464,848.0,848.0
1465,848.0,848.0
1466,848.0,848.0
1467,848.0,848.0
1468,848.0,848.0
1469,848.0,848.0
1470,848.0,848.0
1471,848.0,848.0
1472,848.0,848.0
1473,848.0,848.0
1474,848.0,848.0
1475,848.0,848.0
1476,848.0,848.0
1477,848.0,848.0
1478,848.0,848.0
1479,848.0,848.0
1480,848.0,848.0
1481,848.0,848.0
1482,848.0,848.0
1483,848.0,848.0
1484,848.0,848.0
1485,848.0,848.0
1486,848.0,848.0
1487,848.0,848.0
1488,848.0,848.0
1489,848.0,848.0
1490,848.0,848.0
1491,848.0,848.0
1492,848.0,848.0
1493,848.0,848.0
1494,848.0,848.0
1495,848.0,848.0
1496,848.0,848.0
1497,848.0,848.0
1498,848.0,848.0
1499,848.0,848.0
